Time;Video4_EmbryoA;Video6_EmbryoB;Video9_EmbryoC;Video10_EmbryoD;Video11_EmbryoE;Video17_EmbryoF;Video18_EmbryoG;Video19_EmbryoH;Video20_EmbryoI;Video221_EmbryoJ1;Video231_EmbryoK1;Video15_EmbryoL;Video16_EmbryoM;Video222_EmbryoJ2;Video232_EmbryoK2
3.2;0.543805522;0.406331951;0.374549474;0.405156756;0.464850899;0.519673064;0.538920214;0.378649192;0.386462642;0.392430152;0.38494301;0.393628466;0.394864953;0.385892536;0.363046169
3.25;0.53740781;0.415079707;0.372150161;0.397913909;0.483275572;0.519673064;0.538920214;0.374010629;0.391357497;0.391820659;0.378527293;0.392330412;0.394639204;0.389023406;0.365715107
3.3;0.531010098;0.40663466;0.374369846;0.4016476;0.478502607;0.532504498;0.513257347;0.365342995;0.396367828;0.391948973;0.38494301;0.393623336;0.397266096;0.385892536;0.363860965
3.35;0.543805522;0.415705646;0.373625674;0.409371592;0.480183409;0.532504498;0.519673064;0.375653052;0.394282863;0.399237227;0.378527293;0.392330412;0.392694688;0.382761667;0.360775005
3.4;0.53740781;0.411452338;0.382376111;0.401031734;0.473999083;0.519673064;0.532504498;0.369461886;0.393795302;0.399371957;0.38494301;0.394916259;0.393141055;0.389023406;0.364868232
3.45;0.537471787;0.410220983;0.374671364;0.40722889;0.475654224;0.519673064;0.545335931;0.503569615;0.398908277;0.404183745;0.378527293;0.392345804;0.389852309;0.38668167;0.360691601
3.5;0.531010098;0.4202514;0.379739433;0.403873701;0.47090692;0.513257347;0.641571684;0.504262512;0.39631009;0.399237227;0.38494301;0.388492687;0.394033787;0.386675254;0.363835302
3.55;0.550203234;0.40908711;0.379155642;0.41035313;0.483166512;0.513257347;0.654403118;0.506957113;0.538947337;0.399968619;0.385007167;0.38843112;0.389169933;0.385898952;0.370116289
3.6;0.562998658;0.412273242;0.375909513;0.410802199;0.485886589;0.526088781;0.660818834;0.502690661;0.538896015;0.398659813;0.378527293;0.383244034;0.39104775;0.385109819;0.374889582
3.65;0.550203234;0.421344228;0.375992911;0.409705187;0.475808191;0.513257347;0.641571684;0.508618784;0.534976281;0.402804366;0.513257347;0.385850403;0.389924138;0.394502428;0.377853643
